,Unnamed: 0,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_N
62,245,0.0,6050,4333.0,120000,180.0,1.0,10383.0,0,1,1,0,1,0,0,1,0,0,1,1
63,250,0.0,1668,3890.0,201000,360.0,0.0,5558.0,0,1,0,1,0,1,1,0,0,1,0,1
64,251,2.0,3427,0.0,138000,360.0,1.0,3427.0,1,0,1,0,1,0,1,0,0,0,1,1
65,254,0.0,16250,0.0,192000,360.0,0.0,16250.0,0,1,1,0,1,0,0,1,0,0,1,1
66,256,0.0,6045,0.0,115000,360.0,0.0,6045.0,0,1,1,0,0,1,1,0,1,0,0,1
67,257,3.0,5250,0.0,94000,360.0,1.0,5250.0,0,1,0,1,1,0,1,0,0,0,1,1
68,258,0.0,14683,2100.0,304000,360.0,1.0,16783.0,0,1,0,1,1,0,1,0,1,0,0,1
69,262,1.0,3481,0.0,155000,36.0,1.0,3481.0,1,0,1,0,1,0,1,0,0,1,0,1
70,280,1.0,4053,2426.0,158000,360.0,0.0,6479.0,0,1,1,0,0,1,0,1,0,0,1,1
71,286,0.0,2600,1717.0,99000,300.0,1.0,4317.0,1,0,1,0,1,0,0,1,0,1,0,1
72,291,2.0,4400,0.0,127000,360.0,0.0,4400.0,0,1,0,1,1,0,1,0,0,1,0,1
73,298,0.0,5000,2541.0,151000,480.0,1.0,7541.0,1,0,1,0,1,0,1,0,1,0,0,1
74,299,1.0,2014,2925.0,113000,360.0,1.0,4939.0,0,1,0,1,1,0,1,0,0,0,1,1
75,300,0.0,1800,2934.0,93000,360.0,0.0,4734.0,0,1,0,1,0,1,1,0,0,0,1,1
76,307,0.0,2400,1863.0,104000,360.0,0.0,4263.0,1,0,1,0,1,0,1,0,0,0,1,1
77,308,0.0,20233,0.0,480000,360.0,1.0,20233.0,0,1,1,0,1,0,1,0,1,0,0,1
78,319,1.0,10000,0.0,155000,360.0,1.0,10000.0,0,1,0,1,1,0,0,1,1,0,0,1
79,325,1.0,8666,4983.0,376000,360.0,0.0,13649.0,0,1,0,1,1,0,0,1,1,0,0,1
80,328,0.0,4333,2451.0,110000,360.0,1.0,6784.0,1,0,0,1,1,0,1,0,0,0,1,1
81,340,3.0,2647,1587.0,173000,360.0,1.0,4234.0,0,1,0,1,0,1,1,0,1,0,0,1
82,341,0.0,2378,0.0,46000,360.0,1.0,2378.0,1,0,1,0,1,0,1,0,1,0,0,1
83,351,0.0,8750,4167.0,308000,360.0,1.0,12917.0,0,1,1,0,1,0,1,0,1,0,0,1
84,353,0.0,5500,0.0,105000,360.0,0.0,5500.0,1,0,0,1,1,0,0,1,1,0,0,1
85,357,1.0,3875,0.0,67000,360.0,1.0,3875.0,0,1,0,1,1,0,1,0,0,0,1,1
86,358,0.0,3000,1666.0,100000,480.0,0.0,4666.0,0,1,0,1,0,1,1,0,0,0,1,1
87,360,1.0,4723,0.0,81000,360.0,1.0,4723.0,1,0,1,0,1,0,1,0,0,1,0,1
88,365,0.0,6216,0.0,133000,360.0,1.0,6216.0,0,1,1,0,0,1,1,0,1,0,0,1
89,366,0.0,2500,0.0,96000,480.0,1.0,2500.0,0,1,1,0,1,0,1,0,0,1,0,1
90,369,0.0,19730,5266.0,570000,360.0,1.0,24996.0,0,1,0,1,1,0,1,0,1,0,0,1
91,373,1.0,3062,1987.0,111000,180.0,0.0,5049.0,0,1,1,0,1,0,1,0,0,0,1,1
92,378,0.0,3069,0.0,71000,480.0,1.0,3069.0,0,1,1,0,1,0,1,0,0,0,1,1
93,384,2.0,4566,0.0,100000,360.0,1.0,4566.0,0,1,0,1,1,0,1,0,0,0,1,1
94,396,0.0,3180,0.0,71000,360.0,0.0,3180.0,1,0,1,0,1,0,1,0,0,0,1,1
95,399,0.0,1500,1800.0,103000,360.0,0.0,3300.0,1,0,1,0,1,0,1,0,0,1,0,1
96,400,2.0,2889,0.0,45000,180.0,0.0,2889.0,0,1,0,1,0,1,1,0,0,0,1,1
97,401,0.0,2755,0.0,65000,300.0,1.0,2755.0,0,1,1,0,0,1,1,0,1,0,0,1
98,404,0.0,7441,0.0,194000,360.0,1.0,7441.0,1,0,1,0,1,0,0,1,1,0,0,1
99,408,1.0,8300,0.0,152000,300.0,0.0,8300.0,0,1,0,1,1,0,1,0,0,1,0,1
100,409,3.0,81000,0.0,360000,360.0,0.0,81000.0,0,1,0,1,1,0,1,0,1,0,0,1
101,410,1.0,3867,0.0,62000,360.0,1.0,3867.0,1,0,1,0,0,1,0,1,0,1,0,1
102,412,0.0,6096,0.0,218000,360.0,0.0,6096.0,0,1,0,1,0,1,1,0,1,0,0,1
103,414,0.0,2149,3237.0,178000,360.0,0.0,5386.0,1,0,0,1,0,1,1,0,0,1,0,1
104,416,1.0,2600,0.0,160000,360.0,1.0,2600.0,1,0,1,0,1,0,1,0,0,0,1,1
105,417,2.0,1600,20000.0,239000,360.0,1.0,21600.0,0,1,0,1,1,0,0,1,0,0,1,1
106,426,1.0,4606,0.0,81000,360.0,1.0,4606.0,1,0,1,0,0,1,1,0,1,0,0,1
107,431,0.0,6500,0.0,105000,360.0,0.0,6500.0,0,1,1,0,1,0,1,0,1,0,0,1
108,438,0.0,10416,0.0,187000,360.0,0.0,10416.0,0,1,1,0,1,0,0,1,0,0,1,1
109,448,2.0,3340,1710.0,150000,360.0,0.0,5050.0,0,1,0,1,1,0,1,0,1,0,0,1
110,450,2.0,2309,1255.0,125000,360.0,0.0,3564.0,0,1,0,1,0,1,1,0,1,0,0,1
111,452,0.0,3948,1733.0,149000,360.0,0.0,5681.0,0,1,0,1,1,0,1,0,1,0,0,1
112,457,0.0,3708,2569.0,173000,360.0,1.0,6277.0,0,1,0,1,1,0,1,0,0,0,1,1
113,459,0.0,8334,0.0,160000,360.0,1.0,8334.0,0,1,0,1,1,0,1,0,0,1,0,1
114,464,0.0,4166,0.0,98000,360.0,0.0,4166.0,0,1,1,0,1,0,1,0,0,1,0,1
115,466,3.0,2947,1664.0,70000,180.0,0.0,4611.0,0,1,0,1,0,1,1,0,0,0,1,1
116,469,0.0,4333,2451.0,110000,360.0,1.0,6784.0,0,1,0,1,1,0,1,0,0,0,1,1
117,471,1.0,2653,1500.0,113000,180.0,0.0,4153.0,0,1,0,1,0,1,1,0,1,0,0,1
118,486,2.0,3547,0.0,80000,360.0,0.0,3547.0,0,1,1,0,1,0,1,0,1,0,0,1
119,487,1.0,18333,0.0,500000,360.0,1.0,18333.0,0,1,0,1,1,0,1,0,0,0,1,1
120,489,0.0,2435,0.0,75000,360.0,1.0,2435.0,0,1,1,0,1,0,1,0,0,0,1,1
121,494,0.0,3597,2157.0,119000,360.0,0.0,5754.0,0,1,0,1,1,0,1,0,1,0,0,1
122,499,0.0,6283,4416.0,209000,360.0,0.0,10699.0,0,1,1,0,1,0,1,0,1,0,0,1
123,510,0.0,3598,1287.0,100000,360.0,1.0,4885.0,0,1,1,0,0,1,1,0,1,0,0,1
124,513,0.0,2130,6666.0,70000,180.0,1.0,8796.0,0,1,0,1,1,0,1,0,0,1,0,1
125,514,0.0,5815,3666.0,311000,360.0,1.0,9481.0,0,1,1,0,1,0,1,0,1,0,0,1
126,518,0.0,4683,1915.0,185000,360.0,1.0,6598.0,0,1,1,0,1,0,1,0,0,1,0,1
127,519,0.0,3400,0.0,95000,360.0,1.0,3400.0,1,0,1,0,0,1,1,0,1,0,0,1
128,532,2.0,3588,0.0,110000,360.0,0.0,3588.0,0,1,1,0,1,0,1,0,1,0,0,1
129,538,0.0,2917,536.0,66000,360.0,1.0,3453.0,0,1,0,1,0,1,1,0,1,0,0,1
130,541,0.0,2138,0.0,99000,360.0,0.0,2138.0,1,0,1,0,1,0,1,0,0,1,0,1
131,546,0.0,3358,0.0,80000,36.0,1.0,3358.0,0,1,1,0,0,1,1,0,0,1,0,1
132,548,0.0,5000,0.0,103000,360.0,0.0,5000.0,1,0,1,0,1,0,1,0,0,1,0,1
133,553,0.0,2454,2333.0,181000,360.0,0.0,4787.0,0,1,0,1,0,1,1,0,0,0,1,1
134,554,0.0,3593,4266.0,132000,180.0,0.0,7859.0,0,1,0,1,1,0,1,0,1,0,0,1
135,564,2.0,8799,0.0,258000,360.0,0.0,8799.0,0,1,0,1,1,0,1,0,0,0,1,1
136,567,3.0,3400,2500.0,123000,360.0,0.0,5900.0,0,1,0,1,1,0,1,0,1,0,0,1
137,568,0.0,2378,0.0,9000,360.0,1.0,2378.0,1,0,1,0,1,0,1,0,0,0,1,1
138,569,0.0,3166,2064.0,104000,360.0,0.0,5230.0,0,1,0,1,1,0,1,0,0,0,1,1
139,573,2.0,6125,1625.0,187000,480.0,1.0,7750.0,0,1,0,1,0,1,1,0,0,1,0,1
140,574,3.0,6406,0.0,150000,360.0,1.0,6406.0,0,1,0,1,1,0,1,0,0,1,0,1
141,581,0.0,1836,33837.0,90000,360.0,1.0,35673.0,0,1,1,0,1,0,1,0,0,0,1,1
142,584,1.0,2787,1917.0,146000,360.0,0.0,4704.0,0,1,0,1,1,0,1,0,1,0,0,1
143,585,1.0,4283,3000.0,172000,84.0,1.0,7283.0,0,1,0,1,1,0,1,0,1,0,0,1
144,589,2.0,2726,0.0,106000,360.0,0.0,2726.0,0,1,0,1,1,0,0,1,0,1,0,1
145,591,2.0,6000,0.0,205000,240.0,1.0,6000.0,0,1,0,1,1,0,0,1,0,1,0,1
146,596,2.0,6383,1000.0,187000,360.0,1.0,7383.0,0,1,0,1,0,1,0,1,1,0,0,1
147,613,0.0,4583,0.0,133000,360.0,0.0,4583.0,1,0,1,0,1,0,0,1,0,1,0,1
